label	text
m	"I am interested in the nature of writen and spoken speech since many years.
Since I started studying, I learned much about the grammatical processes in written speech.
I find it interesting how these processes can be represented virtually. 
Especially the interaction between a machine and a human is fascinating and how it can be done.
There is a lot of research that still has to be done to improve such interaction processes.
This is why I like to learn about these things in my studies.
Programming skills and coding in general is often challenging but also fun."
f	At first I was only interested in Linguistics, in words, wording, which words people chose to communicate certain things, the way context can change a sentences' whole meaning, and also in the way words can be misunderstood. Then I started being interested in how languages and computers can be connected other than the fact that programming languages themselves are language, have grammar, carry meaning. How computers can be used to interpret meaning of a sentence also leads back to the question how humans process sentences. I like the interdisciplinarity of Computational Linguistics. One thing that fascinates me is how easy the use of computational language processing tools makes it to search a text for certain things, to alter things, and to process data very fast. Also how translation tools make communication easier, sometimes even possible, all over the world. ü
f	I am currently interested in word embedding and compositionality. I am also interested in Math. I believe if I want ever make it in this field one day I should learn more Math, especially considering that I want to do more algorithms research. I am now also playing with Go and Rust. Those are pretty cool and powerful languages.
f	My main interest is (compositional) semantics, both in natural languages and other formal systems. I enjoy formal semantics and logic. At the moment, I am trying to learn more about distributional models of meaning, particularly about compositional vector semantics and its mathematical background. I am interested in possibilities of integrating the compositional and the distributional approaches, as well as representation of entailment in the latter. I am also curious about working with smaller languages.
f	"I am highly interested in Semantic parsing and its computational methods.
This semantic parsing would be efficial especially in the area of voice regonition for effectively parsing
the voice that human asked eg. Amazon echo or Apple Siri.
I took syntax, semantic and also parsing class with special interest so
learning the statistical natural language processing will be helpful when
building a safe ml method or evaluating the data analysis.
I am looking forward with this SNLP class.
Thank you."
f	"Linguistics is an interesting field because languages are everywhere and one of the most integral aspects of humans and culture. 
Languages are used to communicate needs, wishes, experiences but are also exploited to manipulate. Let's develop computational methods to unveil Trump's
hidden agenda - well, we might not need a very complicated algorithm to do that - and detect and analyse politican's rhetorical skills.
But on a more serious, or rather more important note, it is fascinating to watch the development of programmes and algorithms, for instance in Machine Translation, in the recent years and deal with this fast developing subject. For instance, with the help of NLP, we can translate ever slightly more complex texts into another langauge, depending on the language pair with different qualities, 
and extract the content of a page without a human to have a single glance at it. NLP automates processes, and in the time of digitalisation and big data, NLP can be used for good purposes (also bad ones of course). 
And sometimes, dealing with languages from a computational point of view, we might also find underlying patterns or phenomena at work in languages we wouldn't have found otherwise."
f	"﻿I think computational linguistics provides a lot of exciting concepts and projects. 
I'm currently interested in intelligent tutoring systems not only because a student can benefit from a learning environment that matches their skills and weaknesses but also because it can bridge the gap between (financially) advantaged and disadvantaged students.
Another topic I find intriguing is how language and statistics interact. A lot of recent research suggests that the way humans learn languages is connected to probability, and so are pretty much all state-of-the-art NLP tools, which use machine learning. 
Finally, computational linguistics plays a huge part in the development of intelligent systems (ai), which un-doubtedly is one of the most interesting things happening in the field of computer science."
f	Back in high school I hated grammar and thought it was absolutely boring - until I came to university studying English as a major. Since then, linguistic classes were my absolute favorite because it is exciting how language is explainable and logically put together. Moreover, it is interesting how different languages differ syntactically and how different cultures interpret similar lingustic terms differently (for example whether words convey positive or negative meanings). It was, hence, not surprising after my Bachelor's degree to continue with linguistics; however, considering the chances of getting a job as a linguist I chose computational linguistics especially since I wanted to learn how to program. Even though it is really not easy to learn programming and understand the concepts underneath it, it is fun to continue learning in programming and every time a program runs it just feels so good. Last semester I was learning things in the area of artifical intelligence and neural networks - what a delicate matter. I often was devastated when trying to solve the problems that were given by the instructors; however, when it finally worked, it just felt great. For my future I hope to learn a lot more about NLP and how I can process language computationally, integrating it into tasks like question-answering. To achieve this I need to work harder to understand all the facets that are required when working with NLP and deep learning, however, it is my goal to write my own question-answering system.
f	"I always wanted to work with words or language, and it didn’t matter for me would it be something related to neurolinguistics, 
just a simple translation work or anything more computational. 
In the end I got a bit more interested in computer linguistics, because in school I always was good with programming and it felt 
natural to continue improving myself in that field. 
Also computational linguistics would allow me to solve bigger variety of tasks: 
it’s really impressive how studying one thing can help you to “get access” to so many completely different fields 
starting from speech recognition to machine translation. 
Another linguistic field which I find quite exciting is contrastive linguistics, I mean, 
it is very interesting to compare morphology, syntax, pragmatics etc of two or more different languages. 
I guess they main reason why both computational and contrastive linguistics are appealing to me is 
because they both are very practical-oriented, which I always prefer to plain theory."
f	﻿When I was young, I wondered why people from other countries use different language. This was my first interest in language and linguistics, I guess. Also I wanted to understand how people learn language and use language. In recent years, AI industry has been in the limelight. That makes me have interest how computer understands human's language and deals with it. These interest brought me learning the combination of linguistics and computation, which is computational linguistics I'm studying now.
m	"Language is cool. Computers are too.
I always found language to be fascinating and have had an interest in
the underlying structures that make speech and writing work the way they do.
Using computers to facilitate the study of language seems obvious.
Being able to make a living with both seems great."
